<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,6
GAZP,0,20090111,102959,115.000000000,106
GAZP,0,20090111,102959,115.000000000,250
GAZP,0,20090111,102959,115.000000000,7
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,291
GAZP,0,20090111,102959,115.000000000,9
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,70
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,47
GAZP,0,20090111,102959,115.000000000,92
GAZP,0,20090111,102959,115.000000000,30
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,670
GAZP,0,20090111,102959,115.000000000,330
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,159
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,370
GAZP,0,20090111,102959,115.000000000,240
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,30
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,46
GAZP,0,20090111,102959,115.000000000,312
GAZP,0,20090111,102959,115.000000000,688
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,25
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,60
GAZP,0,20090111,102959,115.000000000,345
GAZP,0,20090111,102959,115.000000000,181
GAZP,0,20090111,102959,115.000000000,165
GAZP,0,20090111,102959,115.000000000,353
GAZP,0,20090111,102959,115.000000000,177
GAZP,0,20090111,102959,115.000000000,458
GAZP,0,20090111,102959,115.000000000,64
GAZP,0,20090111,102959,115.000000000,210
GAZP,0,20090111,102959,115.000000000,71
GAZP,0,20090111,102959,115.000000000,378
GAZP,0,20090111,102959,115.000000000,252
GAZP,0,20090111,102959,115.000000000,462
GAZP,0,20090111,102959,115.000000000,408
GAZP,0,20090111,102959,115.000000000,262
GAZP,0,20090111,102959,115.000000000,422
GAZP,0,20090111,102959,115.000000000,792
GAZP,0,20090111,102959,115.000000000,208
GAZP,0,20090111,102959,115.000000000,632
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,258
GAZP,0,20090111,102959,115.000000000,1500
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,292
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,60
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,150
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,1500
GAZP,0,20090111,102959,115.000000000,200
GAZP,0,20090111,102959,115.000000000,1500
GAZP,0,20090111,102959,115.000000000,46
GAZP,0,20090111,102959,115.000000000,200
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,102959,115.000000000,250
GAZP,0,20090111,102959,115.000000000,18
GAZP,0,20090111,102959,115.000000000,10000
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,123
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,2555
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,25
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,3
GAZP,0,20090111,102959,115.000000000,2
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,400
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,257
GAZP,0,20090111,102959,115.000000000,3000
GAZP,0,20090111,102959,115.000000000,243
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,2000
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,237
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,200
GAZP,0,20090111,102959,115.000000000,1213
GAZP,0,20090111,102959,115.000000000,1200
GAZP,0,20090111,102959,115.000000000,150
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,1660
GAZP,0,20090111,102959,115.000000000,1100
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,1100
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,350
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,1400
GAZP,0,20090111,102959,115.000000000,1400
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,25
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,102959,115.000000000,660
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,102959,115.000000000,600
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,102959,115.000000000,950
GAZP,0,20090111,102959,115.000000000,76
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,45
GAZP,0,20090111,102959,115.000000000,25
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,13
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,5
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,25
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,40
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,155
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,200
GAZP,0,20090111,102959,115.000000000,1406
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,3
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,16
GAZP,0,20090111,102959,115.000000000,200
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,102959,115.000000000,2300
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,5000
GAZP,0,20090111,102959,115.000000000,200
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,3000
GAZP,0,20090111,102959,115.000000000,1430
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,102959,115.000000000,215
GAZP,0,20090111,102959,115.000000000,300
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,600
GAZP,0,20090111,102959,115.000000000,30
GAZP,0,20090111,102959,115.000000000,9400
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,102959,115.000000000,240
GAZP,0,20090111,102959,115.000000000,324
GAZP,0,20090111,102959,115.000000000,220
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,3000
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,5000
GAZP,0,20090111,102959,115.000000000,290
GAZP,0,20090111,102959,115.000000000,34
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,150
GAZP,0,20090111,102959,115.000000000,60
GAZP,0,20090111,102959,115.000000000,94
