<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.IMOEX;D;20090111;000000;632.5000000;642.0300000;630.2700000;635.4000000;8109260863
RI.IMOEX;D;20090112;000000;639.0500000;661.5200000;638.8200000;653.2800000;15127479481
RI.IMOEX;D;20090113;000000;650.1700000;662.3800000;642.0400000;655.1600000;17651139289
RI.IMOEX;D;20090114;000000;657.8600000;671.5900000;610.3600000;610.3600000;21406201003
RI.IMOEX;D;20090115;000000;606.2800000;627.5800000;600.7300000;605.6900000;24183615091
RI.IMOEX;D;20090116;000000;615.1700000;624.2200000;603.7600000;608.6300000;17512712270
RI.IMOEX;D;20090119;000000;611.5300000;617.5200000;580.5200000;586.9700000;16490148215
RI.IMOEX;D;20090120;000000;586.0900000;586.4100000;557.0300000;569.8200000;16700689954
RI.IMOEX;D;20090121;000000;564.9400000;592.0200000;548.9600000;583.3900000;19972205921
RI.IMOEX;D;20090122;000000;584.4200000;597.1300000;556.5800000;557.5700000;19417117111
RI.IMOEX;D;20090123;000000;557.4300000;564.8200000;534.8000000;553.6200000;16465952486
RI.IMOEX;D;20090126;000000;554.3400000;615.1600000;552.3600000;613.5600000;26751698677
RI.IMOEX;D;20090127;000000;614.6200000;624.8200000;595.7100000;602.9000000;29453960838
RI.IMOEX;D;20090128;000000;606.7800000;627.6400000;604.1500000;622.5400000;24047151032
RI.IMOEX;D;20090129;000000;622.9300000;626.2000000;608.1200000;619.2500000;20837837569
RI.IMOEX;D;20090130;000000;617.1500000;648.7000000;612.5900000;624.9000000;25283277680
RI.IMOEX;D;20090202;000000;624.8600000;629.3700000;605.6900000;626.4100000;20168016210
RI.IMOEX;D;20090203;000000;627.8400000;635.3800000;623.5700000;626.0200000;17881355502
RI.IMOEX;D;20090204;000000;628.0800000;639.6500000;624.7800000;635.8900000;23655742449
RI.IMOEX;D;20090205;000000;628.3100000;641.6600000;618.8400000;623.1900000;16762375467
RI.IMOEX;D;20090206;000000;627.9800000;656.3700000;627.9800000;656.0900000;22587028559
RI.IMOEX;D;20090209;000000;656.3100000;698.6800000;654.4100000;698.6800000;40430050670
RI.IMOEX;D;20090210;000000;698.6500000;736.6400000;684.5900000;728.0100000;50926381639
RI.IMOEX;D;20090211;000000;722.2300000;743.3100000;698.3700000;726.7000000;53508350740
RI.IMOEX;D;20090212;000000;726.9500000;737.7200000;689.2500000;690.3400000;46561270825
RI.IMOEX;D;20090213;000000;698.2200000;733.9300000;698.2200000;732.2100000;30354755427
RI.IMOEX;D;20090216;000000;732.1700000;742.6500000;707.0300000;711.9900000;22737231443
RI.IMOEX;D;20090217;000000;709.3400000;709.3400000;642.5800000;645.1800000;31289248613
RI.IMOEX;D;20090218;000000;643.5200000;652.5500000;602.7200000;627.9500000;39501334092
RI.IMOEX;D;20090219;000000;630.1300000;664.0100000;630.1300000;646.5200000;28633048614
RI.IMOEX;D;20090220;000000;641.8100000;641.8100000;620.2700000;631.6600000;21176150746
RI.IMOEX;D;20090224;000000;624.0700000;635.8000000;610.0400000;629.3100000;20017831296
RI.IMOEX;D;20090225;000000;634.6000000;649.2400000;631.0000000;632.7800000;20105293220
RI.IMOEX;D;20090226;000000;639.9700000;672.7700000;639.9700000;672.3000000;27701364283
RI.IMOEX;D;20090227;000000;670.9100000;675.2200000;650.3400000;666.0500000;26827887164
RI.IMOEX;D;20090302;000000;658.9200000;658.9200000;643.6500000;646.7900000;17166409213
RI.IMOEX;D;20090303;000000;644.5000000;659.3800000;638.5100000;654.1400000;25334885021
RI.IMOEX;D;20090304;000000;659.8800000;685.8300000;659.8800000;685.6500000;34702995453
RI.IMOEX;D;20090305;000000;688.2900000;691.5100000;663.5300000;671.9100000;25589112162
RI.IMOEX;D;20090306;000000;667.7200000;694.4600000;665.3500000;688.8700000;23079680135
RI.IMOEX;D;20090310;000000;690.5000000;755.3100000;690.5000000;750.1900000;45476358285
RI.IMOEX;D;20090311;000000;752.6000000;758.9000000;732.4800000;738.9500000;44844342514
RI.IMOEX;D;20090312;000000;736.0500000;741.1400000;706.2000000;728.2300000;38031484678
RI.IMOEX;D;20090313;000000;746.5000000;762.5900000;740.8800000;749.2900000;47599846437
RI.IMOEX;D;20090316;000000;746.3400000;762.8600000;737.6100000;762.7500000;37280970734
RI.IMOEX;D;20090317;000000;764.7300000;779.0600000;760.1500000;772.4400000;51970290544
RI.IMOEX;D;20090318;000000;779.1800000;791.1200000;741.2200000;743.0500000;43036374860
RI.IMOEX;D;20090319;000000;756.5700000;794.2400000;756.5700000;784.9400000;62218732701
RI.IMOEX;D;20090320;000000;784.4100000;802.0100000;769.1600000;792.0500000;51905749572
RI.IMOEX;D;20090323;000000;803.7300000;851.1500000;803.7300000;849.8200000;63091728796
RI.IMOEX;D;20090324;000000;860.7400000;869.8100000;809.1000000;815.7900000;51440617824
RI.IMOEX;D;20090325;000000;815.1100000;856.3000000;808.7100000;851.3500000;60408197805
RI.IMOEX;D;20090326;000000;860.3900000;861.6800000;839.8500000;849.5300000;45433446782
RI.IMOEX;D;20090327;000000;850.7900000;858.9600000;807.2800000;815.2700000;43376622659
RI.IMOEX;D;20090330;000000;808.1600000;808.1600000;763.2100000;763.3600000;33441337152
RI.IMOEX;D;20090331;000000;763.3600000;792.4200000;763.3600000;772.9300000;36007581729
RI.IMOEX;D;20090401;000000;772.9300000;787.8400000;758.0900000;787.2200000;32419918271
RI.IMOEX;D;20090402;000000;787.2200000;838.2400000;787.2200000;837.9100000;46337952156
RI.IMOEX;D;20090403;000000;837.9100000;850.3900000;821.0800000;837.9400000;41508074196
RI.IMOEX;D;20090406;000000;837.9400000;877.9200000;829.2400000;836.0900000;50445251804
RI.IMOEX;D;20090407;000000;836.0900000;857.4400000;815.9300000;843.3400000;38831489015
RI.IMOEX;D;20090408;000000;843.3400000;872.8100000;821.0800000;872.7400000;49338107122
RI.IMOEX;D;20090409;000000;872.7400000;926.4000000;872.7400000;922.6800000;64029381484
RI.IMOEX;D;20090410;000000;922.6800000;933.3000000;905.6000000;927.3800000;32952088966
RI.IMOEX;D;20090413;000000;927.3800000;929.4500000;902.7200000;904.8600000;32651496734
RI.IMOEX;D;20090414;000000;904.8600000;942.6300000;892.7200000;918.6100000;78139762198
RI.IMOEX;D;20090415;000000;918.6100000;918.6100000;892.8000000;906.0000000;45122980200
RI.IMOEX;D;20090416;000000;906.0000000;924.1700000;902.7400000;917.1000000;51143768921
RI.IMOEX;D;20090417;000000;917.1000000;937.7900000;917.1000000;932.9000000;37013855169
RI.IMOEX;D;20090420;000000;932.9000000;935.2200000;881.7200000;882.5000000;38867276759
RI.IMOEX;D;20090421;000000;882.5000000;898.2500000;862.0700000;877.2100000;44583484817
RI.IMOEX;D;20090422;000000;877.2100000;906.1400000;877.2100000;904.9500000;42904957847
RI.IMOEX;D;20090423;000000;904.9500000;932.0800000;897.1800000;928.1400000;50749118465
RI.IMOEX;D;20090424;000000;928.1400000;935.4100000;915.9400000;922.9900000;44569594496
RI.IMOEX;D;20090427;000000;922.9900000;922.9900000;891.0500000;902.4200000;32570817888
RI.IMOEX;D;20090428;000000;902.4500000;902.4500000;865.1100000;887.4800000;32471556494
RI.IMOEX;D;20090429;000000;887.4800000;922.1600000;881.1600000;922.0100000;39107817587
RI.IMOEX;D;20090430;000000;922.0100000;941.0400000;919.6800000;920.3500000;38994672219
RI.IMOEX;D;20090504;000000;920.3500000;959.2600000;920.3500000;957.7700000;38690458047
RI.IMOEX;D;20090505;000000;957.7700000;966.4400000;949.3400000;957.0500000;47834379877
RI.IMOEX;D;20090506;000000;957.0500000;993.2800000;945.5500000;986.1200000;49341423203
RI.IMOEX;D;20090507;000000;986.1200000;1044.6200000;986.1200000;1011.6700000;82757132377
RI.IMOEX;D;20090508;000000;1011.6700000;1031.0300000;1011.6700000;1028.9100000;46299366964
RI.IMOEX;D;20090512;000000;1028.9100000;1067.2100000;1008.9700000;1059.5400000;74664359168
RI.IMOEX;D;20090513;000000;1059.5400000;1097.1100000;996.6500000;1007.8800000;77661076946
RI.IMOEX;D;20090514;000000;1007.8800000;1007.8800000;976.8100000;1000.6200000;53667098008
RI.IMOEX;D;20090515;000000;1000.6200000;1021.8800000;982.0700000;1002.1900000;51076198444
RI.IMOEX;D;20090518;000000;1002.1900000;1014.2300000;969.1800000;1012.8900000;49778212643
RI.IMOEX;D;20090519;000000;1012.8900000;1045.8800000;1012.8900000;1041.8400000;75126110217
RI.IMOEX;D;20090520;000000;1041.8400000;1094.7700000;1035.0100000;1094.7300000;87387402107
RI.IMOEX;D;20090521;000000;1094.7300000;1094.7300000;1033.1400000;1034.3700000;74785060427
RI.IMOEX;D;20090522;000000;1034.3700000;1066.3700000;1034.3700000;1054.0300000;62397445713
RI.IMOEX;D;20090525;000000;1054.0300000;1062.8600000;1034.6900000;1050.9500000;42622158644
RI.IMOEX;D;20090526;000000;1050.9500000;1050.9700000;1012.2900000;1040.9000000;59211861066
RI.IMOEX;D;20090527;000000;1040.9000000;1070.4100000;1040.9000000;1059.6000000;63930795693
RI.IMOEX;D;20090528;000000;1059.6000000;1086.1000000;1048.0700000;1075.0200000;62772109233
RI.IMOEX;D;20090529;000000;1075.0200000;1125.7200000;1074.9900000;1123.3800000;68586774540
RI.IMOEX;D;20090601;000000;1123.3800000;1207.1000000;1123.3800000;1206.2000000;91917096993
RI.IMOEX;D;20090602;000000;1206.2000000;1226.6500000;1168.3100000;1198.5800000;133314484630
RI.IMOEX;D;20090603;000000;1198.5800000;1213.8200000;1106.9100000;1109.2100000;89216911964
RI.IMOEX;D;20090604;000000;1109.2100000;1149.8500000;1082.0300000;1120.4600000;97995148658
RI.IMOEX;D;20090605;000000;1120.4600000;1168.2200000;1120.2300000;1144.2700000;80037924637
RI.IMOEX;D;20090608;000000;1144.2700000;1144.2700000;1098.5400000;1120.3200000;50559207256
RI.IMOEX;D;20090609;000000;1120.3200000;1143.0900000;1107.3900000;1113.8300000;49943704870
RI.IMOEX;D;20090610;000000;1113.8300000;1147.2800000;1113.8300000;1133.6900000;49574809780
RI.IMOEX;D;20090611;000000;1133.6900000;1141.3200000;1112.3900000;1138.5200000;45200045873
RI.IMOEX;D;20090615;000000;1138.5200000;1138.5200000;1077.4000000;1078.1000000;40488180879
RI.IMOEX;D;20090616;000000;1078.1000000;1108.8700000;1068.6900000;1099.4200000;61209628431
RI.IMOEX;D;20090617;000000;1099.4200000;1099.4200000;1036.0500000;1039.4300000;68713820796
RI.IMOEX;D;20090618;000000;1039.4300000;1054.9200000;983.6600000;1020.9500000;73412620662
RI.IMOEX;D;20090619;000000;1020.9500000;1034.3700000;1006.4100000;1017.2900000;57812162228
RI.IMOEX;D;20090622;000000;1017.2900000;1017.2900000;937.7000000;937.9800000;47060813919
RI.IMOEX;D;20090623;000000;937.9800000;951.5500000;881.7100000;917.3000000;103792251139
RI.IMOEX;D;20090624;000000;917.3000000;985.3700000;917.3000000;984.8600000;82777403099
RI.IMOEX;D;20090625;000000;984.8600000;987.5100000;950.0200000;961.1500000;72457020733
RI.IMOEX;D;20090626;000000;961.1500000;994.1500000;959.5200000;960.1600000;60316004282
RI.IMOEX;D;20090629;000000;960.1600000;989.6000000;945.2900000;989.3000000;57761068937
RI.IMOEX;D;20090630;000000;998.7700000;1014.5900000;970.9000000;971.5500000;59942556436
RI.IMOEX;D;20090701;000000;978.2700000;1013.4000000;976.9300000;1012.4800000;58937715259
RI.IMOEX;D;20090702;000000;1003.7900000;1004.3100000;973.1300000;977.0900000;38962542034
RI.IMOEX;D;20090703;000000;975.9900000;985.8100000;956.1200000;974.0700000;40922511817
RI.IMOEX;D;20090706;000000;969.9600000;969.9600000;924.0000000;925.2100000;39456895171
RI.IMOEX;D;20090707;000000;928.2000000;955.3200000;921.4500000;927.0100000;49696519431
RI.IMOEX;D;20090708;000000;916.7600000;916.7600000;896.1300000;904.5800000;47130003295
RI.IMOEX;D;20090709;000000;904.5800000;920.0300000;892.5900000;896.2000000;48456509409
RI.IMOEX;D;20090710;000000;897.4700000;899.6800000;869.7900000;871.3300000;42964455504
RI.IMOEX;D;20090713;000000;871.3300000;893.8700000;852.0300000;881.1500000;57574569797
RI.IMOEX;D;20090714;000000;881.1500000;917.6300000;881.1500000;891.4100000;69022092920
RI.IMOEX;D;20090715;000000;891.4100000;941.2100000;891.4100000;941.2100000;51615475854
RI.IMOEX;D;20090716;000000;941.2100000;952.8900000;928.2000000;938.7300000;57398186265
RI.IMOEX;D;20090717;000000;938.7300000;968.9100000;935.3400000;966.1800000;52827643084
RI.IMOEX;D;20090720;000000;966.1800000;1000.2000000;966.1800000;985.8100000;52987887758
RI.IMOEX;D;20090721;000000;985.8100000;1018.3500000;977.3100000;1002.8800000;73712578777
RI.IMOEX;D;20090722;000000;1002.8800000;1013.7100000;974.9500000;980.7100000;57586769185
